Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G21240,2297.4247016781123,8.65772326673493,0.22829345790280095,37.847840976426205,1.85807061085e-313,3.972740773057e-309
AT4G25070,877.5075081195594,7.373806412320972,0.203444416461297,36.16134513477038,2.4678572230220385e-286,2.63826276427171e-282
AT3G26830,2970.746594957159,7.783592842189239,0.23385402805921987,33.263559406176746,1.2998446215884138e-242,9.263992618060625e-239
AT1G32960,1681.995061706626,8.70978780838655,0.28086721620381716,30.895337124590235,1.37976732039663e-209,7.375201269350087e-206
AT3G26440,1317.783671734647,5.48746259293061,0.18140015998950823,30.244154580809248,6.227506328533983e-201,2.6630062562077017e-197
AT1G51860,1139.5054547701918,8.943691893438375,0.2973070417605571,29.930239895946627,7.955466618483419e-197,2.834930529496566e-193
AT2G14610,37292.4452667898,9.104771756301727,0.3057397210086082,29.776001758986794,7.991143917228284e-195,2.4408378299179707e-191
AT1G51890,1731.8941520931635,8.004602513618694,0.2709098427738807,29.507324639802984,2.3188559499210402e-191,6.197432383157721e-188
AT5G58940,897.0902245372728,5.529325107063556,0.19455553037994947,28.41410491967757,1.353874456131628e-177,3.2163544162833704e-174
AT3G13950,2320.9973167400062,9.224761146220716,0.3391981233517573,27.14027892954216,3.297786785573294e-162,7.05099792623426e-159
AT4G00700,2452.1124450467946,8.08983987671405,0.298086080631345,27.115122652637226,6.531315319241319e-162,1.2695095712790785e-158
AT5G38900,2893.1011795229706,8.227594750813267,0.30480714685945015,26.96995668038569,3.328255251032968e-160,5.930118793527991e-157
AT2G04430,608.61318315737,4.82421600729202,0.17977286326070052,26.829456968779002,1.4650477732235632e-158,2.409552803022539e-155
AT2G43570,14228.221791292792,9.330709255033373,0.3477784453403068,26.821896133472105,1.794979222715194e-158,2.7413179114909687e-155
AT5G61010,2932.7354619274874,4.348446878109912,0.163060549944108,26.666505870471696,1.1518920040498544e-156,1.6419068625726626e-153
AT5G09290,563.7086211066769,7.7790260060265,0.29035792252538023,26.651510192227327,1.718989547355237e-156,2.2971072195001453e-153
AT4G23150,2946.653979669933,7.9354818145763515,0.2995886700515645,26.468775612675742,2.2186162566461423e-154,2.7903667166677158e-151
AT5G67340,1812.1590110823151,6.370213624651696,0.241864036103142,26.330071807403815,8.681881034494466e-153,1.0312627688807009e-149
AT4G20110,2229.5286153738557,5.695243492299415,0.2165061065019437,26.30112746061016,1.8616025494718332e-152,2.0948907426451194e-149
AT5G04930,4974.20187703851,3.7785587626288724,0.14457637119171263,26.134488496016598,1.479217894396729e-150,1.581357890004823e-147
AT3G51330,1954.7198954722428,5.7500278605355,0.2220332782570878,25.892093705430632,8.175324430584334e-148,8.323648173824935e-145
AT5G48400,1000.5453845038236,7.753416326196593,0.2999000181866534,25.80757281238485,7.291040589649534e-147,7.085897220331668e-144
AT3G26230,1025.9729392176464,4.931343151722296,0.1920287220968864,25.676935152408205,2.115822354441468e-145,1.9668868591440444e-142
AT1G74590,1733.9342878008738,6.626104306440696,0.2588361695271568,25.59002793156469,1.9698812184461296e-144,1.7549179304831957e-141
AT2G30140,2307.964100444267,5.562410216078481,0.2191476565317281,25.379467614135983,4.250840153455857e-142,3.635488532841587e-139
AT5G20960,2597.9010693320893,5.099198054952611,0.20125442817348438,25.33391974278564,1.351568428411534e-141,1.1114570987641156e-138
AT1G19250,990.0085883248627,10.013237132611582,0.3918919234220164,25.253211322075007,1.0442149138471613e-140,8.269021878876354e-138
AT4G04500,1193.2351533566746,8.235252660466221,0.325712890585788,25.223052017795688,2.23808610584716e-140,1.709018536754219e-137
AT2G29120,1246.931712166945,4.845537370934257,0.19340824740332543,25.050912584344896,1.7063274394038474e-138,1.258034033858402e-135
AT2G30750,871.6178911408293,6.970508290449498,0.2784582442122109,25.005339583614884,5.3482279250511886e-138,3.8116820421839825e-135
AT4G03450,1203.9687322000452,6.825154018663598,0.2757525785486842,24.737383108526906,4.238424235820707e-135,2.923282212454275e-132
AT2G42950,231.7777995217934,3.052518171710308,0.12365691453396124,24.6826564940643,1.642319793728825e-134,1.0973262346786253e-131
AT5G49680,345.18046254134003,4.293220647382607,0.17481451084414265,24.545627950811593,4.815854818377478e-133,3.120236117325117e-130
AT5G60280,368.2494354736518,4.531268422475192,0.18483748506019185,24.508027865980953,1.212964354007708e-132,7.627762015599649e-130
AT5G13080,1093.059053549466,8.716138746970685,0.3559259281557264,24.400924548060818,1.6719705020277068e-131,1.0213828943958398e-128
AT1G66465,526.8436944293791,7.413266235031083,0.30328532695387467,24.39247909376407,2.055232788912641e-131,1.2206370072150325e-128
AT5G51630,435.64666551632627,3.4721585892265443,0.14297476849586402,24.2827691879348,2.9813470400611702e-130,1.7228157044202131e-127
AT2G13810,756.2904004357981,9.289709797776867,0.38185702747837363,24.185145704520973,3.188683873181674e-129,1.7941381550657202e-126
AT1G66700,1117.9918777344876,8.63534635852118,0.35530347963672126,24.170169911143233,4.582777087708552e-129,2.512419408007604e-126
AT3G10500,701.4379013578637,3.952357163579274,0.16386676536704697,24.11718012568653,1.6508256141027663e-128,8.824075613782812e-126
AT5G53110,972.1909485862589,7.839696578211428,0.32525957741596623,24.03846585187744,1.1020992553784027e-127,5.747313214450153e-125
AT2G43000,872.3428950573716,7.5529219674332095,0.31433872530000057,23.968642749458432,5.906882886266148e-127,3.0070253093156315e-124
AT2G18660,2019.8973596999515,7.680455846782096,0.3206176355942061,23.94495088597662,1.042998620346813e-126,5.186128721310514e-124
AT1G30900,2043.8122444507646,6.713678139488072,0.2812412722106423,23.863350132331615,7.36028292504804e-126,3.576595664101185e-123
AT4G36210,1933.270527481401,2.517615319876099,0.10599592462438806,23.751780284827674,1.0531698720437566e-124,5.003961118703902e-122
AT1G65690,2504.8687609255435,8.074221892976304,0.3402501165138119,23.708605091232954,2.9393051825612824e-124,1.3662018284422342e-121
AT5G63680,1763.1938880258162,3.793427896696598,0.16030014659194267,23.663153462048175,8.642113545550048e-124,3.931426164200118e-121
AT2G13790,2154.2661419784768,3.7033194875699182,0.1566784803349586,23.635315277504425,1.6712749699117407e-123,7.44448544410061e-121
AT3G63380,1496.8740028145687,6.3367343991131495,0.26810160273025935,23.623670647494066,2.2017104689201944e-123,9.607096231833198e-121
AT5G25910,334.2384156643947,6.653697235285578,0.28215210861526907,23.477081770314665,6.994155778515951e-122,2.990840894008991e-119
AT1G66880,3850.257258731104,5.019142287470077,0.21624975773666952,23.207833758754266,3.7951458025969865e-119,1.5910590667711014e-116
AT2G39210,5206.309976185053,6.360349152670876,0.27445178078227256,23.170998357349912,8.930718785886788e-119,3.672071122327796e-116
AT4G23470,4787.635082691719,3.9201590863508455,0.16970873653228907,23.098503049013395,4.793182937041181e-118,1.9336423467335374e-115
AT1G79680,380.75253172844907,6.365526766156557,0.2752164525896797,23.091141334803385,5.68328689389045e-118,2.2502658718198465e-115
AT1G26390,5332.406842553988,8.105420555738512,0.35270642002320046,22.962567794109336,1.1035878611144237e-116,4.290147646997726e-114
AT2G41380,285.0085673824177,6.691736059226626,0.2911746563969346,22.93991944413717,1.8577339767330975e-116,7.092894670808993e-114
AT5G66640,317.2436572870485,4.998918545285318,0.21848115491460451,22.87024881453247,9.190766249841542e-116,3.4475047927695087e-113
AT4G23310,725.1814534380165,8.797368582610014,0.38171318172798424,22.845905358733724,1.6049935733511307e-115,5.916615102038022e-113
AT1G74360,1683.5784324631368,6.140310409221221,0.26921232436279885,22.800977700619157,4.483861119118595e-115,1.6249056709809268e-112
AT5G13320,2759.0900994308254,7.381963104655446,0.32549153753878096,22.67103919877906,8.652735610975675e-114,3.0834023349711822e-111
AT1G36622,1241.5336275737875,7.827265905483994,0.3450954186421547,22.651081188922795,1.361296313440833e-113,4.7714551602751555e-111
AT4G04490,1829.1075391615736,6.672380648219727,0.2958576365140263,22.543051876910567,1.571074875159447e-112,5.417927726739377e-110
AT1G32940,1352.4259219981177,4.955284069696882,0.22197911523700406,22.320153177806347,2.3548161138945114e-110,7.991797354155325e-108
AT2G31865,1843.6057863542114,5.5729260269456,0.2502693655506799,22.263871448882284,8.278073934893314e-110,2.7655234187805305e-107
AT1G65500,1008.7139105381488,7.27907137257227,0.32753343414097513,22.21308594500081,2.566882461667275e-109,8.443463678908924e-107
AT1G26420,1090.7211524867134,7.4400921206445,0.3372404700745434,22.028607594968737,1.53210884254029e-107,4.963336236720294e-105
AT4G21840,696.4620004930024,8.353184776236315,0.3789812199610905,21.98048484356087,4.4270897539458507e-107,1.4127702392405408e-104
AT3G09940,891.202435018531,6.890521817226596,0.31328044677571815,21.976253865725063,4.859444538511425e-107,1.5279379952634233e-104
AT4G36990,5137.568128538114,6.1589811016222304,0.2815255148714837,21.87444601891103,4.550039831274173e-106,1.4099188642387408e-103
AT2G17760,1094.7688595166665,3.243575292726541,0.14850470665226045,21.84064650821915,9.539588053481212e-106,2.913799031021168e-103
AT1G61420,256.91397066897883,5.3363859081329474,0.2444392223758799,21.814000320379865,1.7086368192458797e-105,5.14540335666143e-103
AT5G64810,586.0734431953405,7.179250758749196,0.3287630630863728,21.810435345656057,1.8471033135601642e-105,5.485127214893038e-103
AT4G18250,640.6761749706673,6.588866742788736,0.30189589140273093,21.797680273257612,2.4407698997177097e-105,7.148780989844431e-103
AT2G45220,7082.488222710991,8.355681459244954,0.38320690358348597,21.79394387446838,2.6483110076314605e-105,7.65182941272544e-103
AT1G60730,970.5476672818687,5.275986780917481,0.2425615620378727,21.747135600732364,7.352971820996773e-105,2.09618520672976e-102
AT1G67800,1213.5707518120655,3.3539680171833717,0.15450573287389882,21.70674607863428,1.7716501353710465e-104,4.984164676890571e-102
AT4G23700,1515.9742895762606,7.798531390984889,0.3610127648758897,21.563837735112013,3.9265746650149954e-103,1.0903128949699432e-100
AT5G06960,476.02190777019916,3.271290172097928,0.15173767667611074,21.557790414181508,4.474666863420938e-103,1.2265750282923473e-100
AT3G12220,209.23906519188884,5.54733909847356,0.25707550530720996,21.53260125933029,7.708328182346459e-103,2.0862248717310084e-100
AT3G47480,2606.703771085088,6.753496512670252,0.313606507915068,21.528988770285167,8.333205148215106e-103,2.2271532409248397e-100
AT3G13380,1194.9061276112704,5.097141763669411,0.23673124850073268,21.526158663959716,8.857852726741678e-103,2.338145051240294e-100
AT1G24145,1750.8470522050134,5.881388709655322,0.2734181159471438,21.507060543048574,1.3371358533620033e-102,3.486500204967438e-100
AT1G61140,934.296820051786,2.5631005536745852,0.11930975475324679,21.482061505106834,2.2910982996644952e-102,5.901924427123684e-100
AT5G51465,1073.2542008117596,8.796358487415388,0.4088725307276497,21.458781123291487,3.780856463220553e-102,9.623630004776028e-100
AT4G14630,2560.184096743417,8.66068300479362,0.40174302223011094,21.44618151421677,4.957136428911664e-102,1.2469239292536505e-99
AT3G01420,8196.321365273408,8.868371918843543,0.4135630419569937,21.42570256187623,7.696495679461951e-102,1.9134741177043717e-99
AT1G16420,208.09777704933464,7.543608607182402,0.3488723598092065,21.420425120463907,8.619864496670662e-102,2.1184060092335105e-99
AT2G24180,3224.231804989838,3.640159407760391,0.17054425520009361,21.343063363236997,4.523183441332982e-101,1.0989793768084145e-98
AT2G20560,539.2714384545471,4.459672678512208,0.208912937761819,21.342055132003562,4.6217864931798954e-101,1.110319292254824e-98
AT4G23160,225.61540944634908,6.003812209627835,0.280832347405602,21.329550204851866,6.038571810092445e-101,1.4345633763509618e-98
AT4G27480,143.93087144104732,3.914579098542647,0.18348789238014093,21.324899660155243,6.669653101426115e-101,1.567075307270239e-98
AT3G47780,469.8640108825981,4.930729759244513,0.23252489709573307,21.197864067293388,9.992989749446202e-100,2.322392541662057e-97
AT4G12120,938.1722371291552,3.6669712889163515,0.17327569590912745,21.160562720082236,2.2057451310187347e-99,5.071079209280813e-97
AT5G60950,391.81194625498136,4.842543921910642,0.22946978668384116,21.098497962950375,8.210295241059117e-99,1.867492793075372e-96
AT1G13520,1427.485362463773,8.428667020282822,0.399366756756583,21.051226500473863,2.2283833970977035e-98,5.015270043510105e-96
AT4G38560,387.08429411718487,6.75266099523937,0.3204286521282391,21.034247399084006,3.187912887102032e-98,7.1000797332425576e-96
AT1G34180,214.8618176248144,6.197318230024415,0.29428232037576396,21.012870815291084,5.001763500522004e-98,1.1025021175738244e-95
AT3G25610,3066.9037888227977,5.321085422650588,0.2532349884753138,21.008999097169465,5.426652243251916e-98,1.1839515470711144e-95
AT5G48657,1518.2985512903554,6.34333200456763,0.3019609818303601,21.000455091936345,6.496034116155657e-98,1.4029465195709507e-95
AT1G64280,1038.7985996094233,2.473355674985805,0.11835592266504447,20.897263666144088,5.670362878798151e-97,1.2123802871158328e-94
AT3G11080,305.8101624908662,5.1609573255139924,0.2468519105822946,20.896198238012,5.798317765284757e-97,1.2274636845500334e-94
AT2G46150,187.82055040657085,6.705820478213727,0.320122058924464,20.859271743441003,1.2556897062961777e-96,2.6321472166978994e-94
AT2G01650,859.288121883534,3.2392804512855444,0.155323300015092,20.85423821646482,1.3950193248983039e-96,2.895816328703945e-94
AT3G09520,213.43412402509466,5.722487399621487,0.2743613175929482,20.818019871145196,2.97215927035456e-96,6.110359361485659e-94
AT5G26170,361.1650185179682,6.279253127773232,0.3021579111082502,20.760423354889397,9.869342962611352e-96,2.0096802084151743e-93
AT5G02490,4538.014122016363,6.330376188694674,0.30497294747689624,20.75308477005855,1.149727915055177e-95,2.3190879765844095e-93
AT3G28580,437.5974072831663,6.678522348741893,0.3220029743344283,20.710312575522632,2.7963617796996126e-95,5.58775805717359e-93
AT3G47540,1044.1649570561005,5.163381302161262,0.24965633934606998,20.67820508546247,5.4428578992101845e-95,1.0775346735464162e-92
AT2G18680,345.2026605204409,5.651867470634805,0.2737615259706892,20.626937873940886,1.5730081254621745e-94,3.0855492413308946e-92
AT2G25297,206.80060507574876,6.786853153425048,0.32893449358662713,20.573807401357325,4.7117736728632393e-94,9.158402990862629e-92
AT3G54420,177.99222254434966,5.592050213946373,0.27280083165068375,20.463403796836204,4.5638325713975795e-93,8.790928307121769e-91
AT2G16900,1740.6919497579931,4.099110804176366,0.2006052587295549,20.43167697309763,8.744654000229625e-93,1.6693700640974073e-90
AT1G76970,1436.1856794076987,4.932255375873868,0.24187580730796077,20.388935021654845,2.0966020404768137e-92,3.967030816587146e-90
AT3G51440,778.2455672504136,6.454249664422293,0.3165178759982154,20.380208075082777,2.5058778296378017e-92,4.699839813639109e-90
AT1G68620,7619.695858501902,8.441395939515314,0.414245000207633,20.36635732059213,3.3251043360144703e-92,6.182091809419599e-90
AT2G35980,4566.290970396726,8.658051206354514,0.4244853053997451,20.360800959840176,3.724453025009392e-92,6.864873286872913e-90
AT1G64610,860.8329326417677,4.184440640872877,0.20553861023403894,20.356588227418417,4.058817494667324e-92,7.4172287908959025e-90
AT1G13340,2740.2710055387442,7.658945993444149,0.37622582356619466,20.343841565773683,5.264111383683355e-92,9.538302160553712e-90
AT2G45500,452.00053503183375,2.9896284508271194,0.1471367495445374,20.317720441778995,8.964334479613706e-92,1.610642315198493e-89
AT1G77660,502.33039106494516,3.9544022117137962,0.1946251191207806,20.315655758846273,9.349309838361959e-92,1.665813280450142e-89
AT2G27660,1006.5517008259048,7.496006901471664,0.3687082874422994,20.305546958731064,1.1485824950798497e-91,2.0295737460580384e-89
AT5G01550,515.8094103328219,7.08385417902665,0.3484979332478622,20.272661487958757,2.2419776960175774e-91,3.9291577966026085e-89
AT3G07570,410.4883270392963,2.850747884711475,0.14097881944868468,20.220386485317427,6.477372509552053e-91,1.1259569237945728e-88
AT2G28710,158.1862080222308,6.31857228140194,0.3120044561107943,20.19735875558588,1.0327532437560029e-90,1.7807497665118627e-88
AT1G75170,929.0044669918882,5.127172900968114,0.2540713903606981,20.175697364493768,1.6008975264350094e-90,2.738303201016555e-88
AT3G10320,500.52258065330926,7.969616094339337,0.39339042819252396,20.169064262744257,1.8306976153896162e-90,3.106519501162332e-88
AT2G38860,3552.3238252085125,4.914976246502619,0.24370366472521146,20.16608118800839,1.944501560926411e-90,3.2736525885171336e-88
AT2G19190,2551.05943022429,8.762872224348603,0.43369522180425507,20.157198925074177,2.3268724662309695e-90,3.8867859531628406e-88
AT2G44180,1129.0824761861727,3.181073163758829,0.15785589855490015,20.151103039106648,2.631840666736896e-90,4.362122891124153e-88
AT2G42350,168.33413959654249,6.50222835633972,0.32109919219353616,20.138512302330852,3.393776842217296e-90,5.581718666419077e-88
AT5G46500,428.73506429304996,4.808158804244116,0.2393704035674947,20.078818494346216,1.130517159281164e-89,1.8451593421824863e-87
AT4G26990,345.79796824808346,4.153906412646397,0.20763142114130073,20.00159556760008,5.333848804603145e-89,8.639622825092412e-87
AT2G29990,1261.2830510571882,4.627203415013444,0.2317837514773004,19.961059482245297,1.2013806610737647e-88,1.9313323243923432e-86
AT5G42010,501.0551791092794,5.194201964000376,0.26040050497276035,19.93724933506886,1.934117918478704e-88,3.086072777238296e-86
AT1G08050,1322.0429846562927,5.873752652406882,0.29462950722079967,19.92940798686181,2.2622207432598842e-88,3.582854941602932e-86
AT1G58225,1325.1867244945422,7.252616485320736,0.3637487598512029,19.928636118657103,2.2973770917313715e-88,3.611780852816798e-86
AT1G30755,727.2763761562691,3.926535723856742,0.19731112456510755,19.898017068658703,4.233483501925892e-88,6.607015383553102e-86
AT4G16260,11390.656590540413,7.741654557086341,0.38897808039134124,19.89128419382552,4.841914048488856e-88,7.501809005126104e-86
AT3G17420,338.5048322382584,3.6379164823912244,0.18287683797016388,19.89013739258074,4.9539149664448885e-88,7.620119129320731e-86
AT3G15536,1604.1493249862363,8.690501345904908,0.43652135492351507,19.88291996098563,5.720572825742636e-88,8.736540541943093e-86
AT2G44290,2421.8785502469277,5.381555798439948,0.27069334352311,19.87889930790612,6.197862109479567e-88,9.398332607289548e-86
AT2G04100,955.4692229097635,6.182667724672756,0.31118561640963677,19.85332963846251,1.031351375326864e-87,1.5529101236523718e-85
AT3G45860,4407.249562583857,6.0142329224406215,0.3040672650604068,19.77577212583788,4.814016284887428e-87,7.197795957145322e-85
AT1G69810,281.745012609632,5.588962141329062,0.2827730747445856,19.715557208149722,1.585602218935085e-86,2.35428896132299e-84
