GeneID,log2FoldChange_IM_vs_UM,padj_IM_vs_UM,pvalue_IM_vs_UM,contrast_IM_vs_UM,log2FoldChange_H_vs_UM,padj_H_vs_UM,pvalue_H_vs_UM,contrast_H_vs_UM,sig_IM,sig_H
AT1G21240,8.65772326673493,3.972740773057e-309,1.85807061085e-313,IM_vs_UM,8.58904944865856,0,0,H_vs_UM,Significant,Significant
AT4G25070,7.373806412320972,2.63826276427171e-282,2.4678572230220385e-286,IM_vs_UM,7.448142355486181,1.2523928379787872e-297,1.1715007136979441e-301,H_vs_UM,Significant,Significant
AT3G26830,7.783592842189239,9.263992618060625e-239,1.2998446215884138e-242,IM_vs_UM,7.88023522280358,2.583448693546204e-268,3.624875394340121e-272,H_vs_UM,Significant,Significant
AT1G32960,8.70978780838655,7.375201269350087e-206,1.37976732039663e-209,IM_vs_UM,9.107193494043742,5.300321990923767e-237,1.239493473393145e-240,H_vs_UM,Significant,Significant
AT3G26440,5.48746259293061,2.6630062562077017e-197,6.227506328533983e-201,IM_vs_UM,5.881099642583465,3.7563088398276594e-250,7.027377278570056e-254,H_vs_UM,Significant,Significant
AT1G51860,8.943691893438375,2.834930529496566e-193,7.955466618483419e-197,IM_vs_UM,8.543385587880758,8.921323061247622e-184,6.676075439874746e-187,H_vs_UM,Significant,Significant
AT2G14610,9.104771756301727,2.4408378299179707e-191,7.991143917228284e-195,IM_vs_UM,7.1272632324699385,3.8265782679727326e-132,1.288590969992221e-134,H_vs_UM,Significant,Significant
AT1G51890,8.004602513618694,6.197432383157721e-188,2.3188559499210402e-191,IM_vs_UM,8.033439604575657,4.2876763602364125e-205,1.8048307956656712e-208,H_vs_UM,Significant,Significant
AT5G58940,5.529325107063556,3.2163544162833704e-174,1.353874456131628e-177,IM_vs_UM,5.0314338065218305,1.6886385480274697e-158,2.9222031839959017e-161,H_vs_UM,Significant,Significant
AT3G13950,9.224761146220716,7.05099792623426e-159,3.297786785573294e-162,IM_vs_UM,8.572512014032796,1.1818618757096745e-149,2.4321557706012662e-152,H_vs_UM,Significant,Significant
AT4G00700,8.08983987671405,1.2695095712790785e-158,6.531315319241319e-162,IM_vs_UM,8.061479725102277,1.7145288142918493e-173,1.9245447613771283e-176,H_vs_UM,Significant,Significant
AT5G38900,8.227594750813267,5.930118793527991e-157,3.328255251032968e-160,IM_vs_UM,8.220200956683598,5.873657177523813e-173,6.867846660029714e-176,H_vs_UM,Significant,Significant
AT2G04430,4.82421600729202,2.409552803022539e-155,1.4650477732235632e-158,IM_vs_UM,4.805391700989142,5.009248563580329e-169,6.559981281523278e-172,H_vs_UM,Significant,Significant
AT2G43570,9.330709255033373,2.7413179114909687e-155,1.794979222715194e-158,IM_vs_UM,7.751883975103939,1.6958531130801613e-120,7.535009856536894e-123,H_vs_UM,Significant,Significant
AT5G61010,4.348446878109912,1.6419068625726626e-153,1.1518920040498544e-156,IM_vs_UM,4.29201320882548,9.762034087554823e-168,1.3240680442406335e-170,H_vs_UM,Significant,Significant
AT5G09290,7.7790260060265,2.2971072195001453e-153,1.718989547355237e-156,IM_vs_UM,7.8943641385917225,3.507053926560874e-163,5.248852983955285e-166,H_vs_UM,Significant,Significant
AT4G23150,7.9354818145763515,2.7903667166677158e-151,2.2186162566461423e-154,IM_vs_UM,8.181405627014968,1.0696825541975186e-177,1.0506212823604084e-180,H_vs_UM,Significant,Significant
AT5G67340,6.370213624651696,1.0312627688807009e-149,8.681881034494466e-153,IM_vs_UM,6.541776362920801,3.717846621938382e-175,3.9993673029597675e-178,H_vs_UM,Significant,Significant
AT4G20110,5.695243492299415,2.0948907426451194e-149,1.8616025494718332e-152,IM_vs_UM,6.002136028120098,5.645332729540759e-185,3.960525276793012e-188,H_vs_UM,Significant,Significant
AT5G04930,3.7785587626288724,1.581357890004823e-147,1.479217894396729e-150,IM_vs_UM,4.242732301208383,6.513962165602553e-209,2.437289992274469e-212,H_vs_UM,Significant,Significant
AT3G51330,5.7500278605355,8.323648173824935e-145,8.175324430584334e-148,IM_vs_UM,6.207111340059257,8.767017669959376e-188,5.740528851757694e-191,H_vs_UM,Significant,Significant
AT5G48400,7.753416326196593,7.085897220331668e-144,7.291040589649534e-147,IM_vs_UM,7.553891190131786,1.3009100160764612e-147,3.042210411291477e-150,H_vs_UM,Significant,Significant
AT3G26230,4.931343151722296,1.9668868591440444e-142,2.115822354441468e-145,IM_vs_UM,4.7893444369023515,4.608482541855161e-149,9.914886905445835e-152,H_vs_UM,Significant,Significant
