"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009768","photosynthesis, light harvesting in photosystem I",21,-0.941136832633505,-2.02638867482599,1e-10,5.33513513513514e-09,3.72403982930299e-09,520,"tags=90%, list=3%, signal=88%","838498/841099/822391/820043/838151/830325/815055/815058/835515/837358/825320/818006/839870/842446/824654/826626/839869/823901/839871"
"GO:0009767","photosynthetic electron transport chain",46,-0.873726961114472,-2.00654249806107,1e-10,5.33513513513514e-09,3.72403982930299e-09,1791,"tags=78%, list=9%, signal=71%","821143/844240/841984/828489/842354/819185/814688/829490/820871/821673/837974/815111/838455/842785/838168/820828/828893/829220/842016/827921/828388/824572/817646/826551/827996/825797/836751/843099/819295/824246/842386/827877/836525/825866/837358/836789"
"GO:0009765","photosynthesis, light harvesting",35,-0.880894905858337,-1.99072655640431,1e-10,5.33513513513514e-09,3.72403982930299e-09,857,"tags=80%, list=4%, signal=77%","833979/835806/838498/841099/819406/841995/827927/843903/839449/841919/817646/822391/820043/838151/830325/815055/815058/835515/837358/825320/818006/839870/842446/824654/826626/839869/823901/839871"
"GO:0019684","photosynthesis, light reaction",139,-0.817302469388793,-1.94470432696065,1e-10,5.33513513513514e-09,3.72403982930299e-09,2853,"tags=80%, list=14%, signal=69%","816078/2745715/823814/829696/837040/819705/825208/827564/830772/828697/817409/821143/844240/841984/828489/842354/819185/842719/829484/827223/814688/833476/840099/829490/824832/829729/843222/819581/820871/844043/820740/839350/821673/831741/824767/837974/833461/838876/833979/824691/819992/834494/843978/818051/831016/815111/821399/838455/841892/835806/7922413/842785/838498/831799/818532/840297/829678/838168/820828/841099/824699/828893/819406/841995/838243/827927/843491/829220/843903/832376/842016/821137/816623/839449/827921/841919/828388/824572/817646/826551/827996/825797/836751/843099/819295/824246/842386/827877/822391/836525/820043/825866/817606/838151/830325/844245/815055/837178/815058/835515/837358/825320/818006/839870/842446/824654/826626/836789/839869/823901/839871"
"GO:0015979","photosynthesis",190,-0.80112270422616,-1.91922315224644,1e-10,5.33513513513514e-09,3.72403982930299e-09,2853,"tags=75%, list=14%, signal=65%","816078/818622/2745715/823814/829696/821203/837040/819705/825208/836710/843890/827564/830772/828697/817409/821143/844240/824559/841984/832410/828489/842354/824775/819185/842719/829484/835328/827223/814688/833476/840099/829490/829195/824832/832798/820974/829729/843222/819581/820871/844043/820740/839350/821673/831741/843110/824767/837974/833461/838876/833979/824691/819992/834494/843978/818051/830739/831016/815111/821399/828871/837719/838455/841892/835806/819639/7922413/842785/838498/831799/837332/818532/840297/829678/838168/817656/820828/842794/841099/827922/815013/824699/828893/819406/841995/840953/838243/827927/843491/829220/843903/835168/825414/832376/842016/821137/816623/839449/827921/841919/828388/824572/819353/817646/824746/820461/826551/827996/825797/840895/836751/843099/819295/824246/842386/827877/822391/821134/822277/836525/820043/825866/833828/817606/838151/830325/844245/815055/837178/815058/835515/837358/825320/818006/839870/842446/824654/826626/836789/839869/823901/843029/839871"
"GO:0010109","regulation of photosynthesis",45,-0.824339566600278,-1.8902210634031,1e-10,5.33513513513514e-09,3.72403982930299e-09,2111,"tags=62%, list=11%, signal=56%","836710/843890/830772/829484/835328/840099/820974/843222/831741/843110/821399/837332/820828/842794/827922/828893/843491/829220/835168/825414/842016/821137/819353/817646/843099/824246/817606/836789"
"GO:0033014","tetrapyrrole biosynthetic process",74,-0.789499248709945,-1.85271679225886,1e-10,5.33513513513514e-09,3.72403982930299e-09,2993,"tags=62%, list=15%, signal=53%","5007676/824885/820069/835788/817056/816538/843330/835507/824690/817196/834085/817195/842700/821181/834633/821673/831984/828851/818633/820628/817589/824034/827991/834442/837610/824345/839489/818766/827479/835937/839009/830724/818644/816579/834757/837374/842198/841029/818093/828611/827580/827230/836751/828853/843788/824861"
"GO:0015995","chlorophyll biosynthetic process",53,-0.798469580414504,-1.84399809791948,1e-10,5.33513513513514e-09,3.72403982930299e-09,2993,"tags=68%, list=15%, signal=58%","5007676/824885/835788/817056/816538/843330/835507/824690/834085/842700/821181/834633/831984/828851/818633/820628/834442/837610/824345/818766/827479/835937/839009/830724/816579/834757/837374/842198/841029/818093/828611/827580/827230/828853/843788/824861"
"GO:0006779","porphyrin-containing compound biosynthetic process",70,-0.785944782323324,-1.83888337821831,1e-10,5.33513513513514e-09,3.72403982930299e-09,2993,"tags=61%, list=15%, signal=52%","5007676/824885/835788/817056/816538/843330/835507/824690/834085/817195/842700/821181/834633/821673/831984/828851/818633/820628/817589/824034/827991/834442/837610/824345/839489/818766/827479/835937/839009/830724/818644/816579/834757/837374/842198/841029/818093/828611/827580/827230/828853/843788/824861"
"GO:0022900","electron transport chain",99,-0.770862109847195,-1.82191425796464,1e-10,5.33513513513514e-09,3.72403982930299e-09,1791,"tags=45%, list=9%, signal=42%","821143/844240/841984/828489/842354/819185/814688/829490/819070/829394/820871/842836/821673/820256/840149/837974/829622/831645/815111/838455/842785/838168/820828/828893/829220/820827/842016/827921/828388/824572/817646/826551/838591/827996/825797/836751/843099/819295/824246/842386/827877/836525/825866/837358/836789"
