"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ath01240","Biosynthesis of cofactors","218/4731","237/6305",0.919831223628692,1.22585835235234,6.14426240278795,7.80022203805186e-12,1.06083019717505e-09,4.1053800200273e-10,"AT1G01290/AT1G02000/AT1G02500/AT1G02880/AT1G03475/AT1G04640/AT1G06570/AT1G09940/AT1G10060/AT1G10070/AT1G12350/AT1G17710/AT1G18870/AT1G21640/AT1G22020/AT1G23360/AT1G23800/AT1G24360/AT1G26570/AT1G29900/AT1G30520/AT1G30820/AT1G36280/AT1G36370/AT1G44170/AT1G47578/AT1G48030/AT1G48605/AT1G50110/AT1G50170/AT1G50480/AT1G55090/AT1G58290/AT1G60440/AT1G60550/AT1G60600/AT1G64970/AT1G67070/AT1G68890/AT1G69740/AT1G73010/AT1G74710/AT1G74910/AT1G74960/AT1G78590/AT1G78660/AT1G78670/AT1G78680/AT1G79790/AT2G01350/AT2G03690/AT2G04540/AT2G04650/AT2G05990/AT2G17630/AT2G18250/AT2G18950/AT2G20690/AT2G20860/AT2G21550/AT2G22230/AT2G22450/AT2G23420/AT2G26540/AT2G27490/AT2G28880/AT2G29630/AT2G30390/AT2G30920/AT2G31250/AT2G31955/AT2G36880/AT2G37250/AT2G37790/AT2G38230/AT2G39270/AT2G39770/AT2G40490/AT2G43360/AT2G43760/AT2G44050/AT2G44520/AT2G44750/AT2G45790/AT2G46110/AT2G46580/AT2G46740/AT2G46750/AT2G46760/AT3G01820/AT3G02570/AT3G02870/AT3G03250/AT3G03980/AT3G04000/AT3G07270/AT3G10160/AT3G11750/AT3G11945/AT3G12670/AT3G14930/AT3G16050/AT3G16950/AT3G17240/AT3G17390/AT3G18030/AT3G18680/AT3G20330/AT3G21070/AT3G23820/AT3G24030/AT3G24200/AT3G27740/AT3G29360/AT3G47390/AT3G47930/AT3G48000/AT3G48730/AT3G49680/AT3G54470/AT3G55630/AT3G57610/AT3G60180/AT3G61530/AT3G63410/AT4G00110/AT4G01690/AT4G01850/AT4G02120/AT4G03205/AT4G09320/AT4G11010/AT4G11570/AT4G12250/AT4G13180/AT4G13890/AT4G16155/AT4G18440/AT4G20320/AT4G20960/AT4G21470/AT4G22930/AT4G23100/AT4G23660/AT4G25280/AT4G26850/AT4G27270/AT4G29530/AT4G30000/AT4G30570/AT4G31050/AT4G32520/AT4G32770/AT4G33670/AT4G34240/AT4G34570/AT4G35630/AT4G36250/AT4G36750/AT4G36940/AT4G37930/AT5G01410/AT5G01670/AT5G02080/AT5G04620/AT5G05980/AT5G08280/AT5G08340/AT5G08415/AT5G08740/AT5G10160/AT5G11540/AT5G14220/AT5G14760/AT5G15490/AT5G17310/AT5G18210/AT5G20990/AT5G23300/AT5G23330/AT5G26030/AT5G26667/AT5G26710/AT5G27380/AT5G28840/AT5G32470/AT5G35170/AT5G37850/AT5G39320/AT5G40850/AT5G41480/AT5G42370/AT5G46290/AT5G47840/AT5G48840/AT5G48950/AT5G50370/AT5G54500/AT5G54770/AT5G55120/AT5G55810/AT5G56090/AT5G56490/AT5G57300/AT5G57590/AT5G57850/AT5G58800/AT5G59750/AT5G60340/AT5G60540/AT5G62980/AT5G63310/AT5G63400/AT5G63570/AT5G64050/AT5G64300/AT5G65720/AT5G65780",218
"Cellular Processes","Transport and catabolism","ath04144","Endocytosis","148/4731","156/6305",0.948717948717949,1.26435566828718,5.79603356538357,2.97585948262046e-11,2.02358444818191e-09,7.83120916479069e-10,"AT1G01960/AT1G02430/AT1G03950/AT1G06400/AT1G07410/AT1G08270/AT1G09630/AT1G10290/AT1G10600/AT1G10630/AT1G10870/AT1G10900/AT1G13180/AT1G13980/AT1G15130/AT1G16030/AT1G17730/AT1G21980/AT1G22740/AT1G23490/AT1G30825/AT1G47830/AT1G48790/AT1G49300/AT1G52280/AT1G52570/AT1G55180/AT1G59610/AT1G60430/AT1G60860/AT1G60890/AT1G70490/AT1G71790/AT1G73030/AT1G75850/AT1G77140/AT1G77740/AT2G06530/AT2G15310/AT2G17790/AT2G17840/AT2G19830/AT2G21880/AT2G27600/AT2G30910/AT2G31300/AT2G33385/AT2G36680/AT2G37550/AT2G38830/AT2G41210/AT2G42010/AT2G43160/AT2G47170/AT3G03120/AT3G05520/AT3G05630/AT3G07940/AT3G07960/AT3G08530/AT3G09440/AT3G09900/AT3G09920/AT3G10640/AT3G11130/AT3G12400/AT3G12580/AT3G15060/AT3G15730/AT3G16100/AT3G16785/AT3G17660/AT3G18820/AT3G20290/AT3G27000/AT3G46060/AT3G46540/AT3G46830/AT3G47810/AT3G51250/AT3G51310/AT3G53120/AT3G53610/AT3G53710/AT3G54840/AT3G56960/AT3G59290/AT3G60860/AT3G62080/AT3G62290/AT4G00240/AT4G01190/AT4G01710/AT4G05000/AT4G05330/AT4G05520/AT4G09720/AT4G11830/AT4G11840/AT4G11850/AT4G12230/AT4G14147/AT4G16144/AT4G17890/AT4G18800/AT4G19003/AT4G19640/AT4G21160/AT4G21560/AT4G24280/AT4G26750/AT4G27040/AT4G27690/AT4G29160/AT4G35380/AT4G35790/AT4G35985/AT4G38200/AT5G02490/AT5G02500/AT5G03520/AT5G04850/AT5G04920/AT5G06140/AT5G09260/AT5G11710/AT5G13300/AT5G13860/AT5G14670/AT5G17060/AT5G22770/AT5G22780/AT5G22950/AT5G25370/AT5G39500/AT5G44560/AT5G45130/AT5G45750/AT5G46630/AT5G46750/AT5G49910/AT5G53530/AT5G54310/AT5G59150/AT5G59840/AT5G60860/AT5G61980/AT5G63880",148
"Metabolism","Global and overview maps","ath01200","Carbon metabolism","248/4731","275/6305",0.901818181818182,1.20185238561903,5.93367546784202,7.59288088427458e-11,3.44210600087114e-09,1.33208436566221e-09,"AT1G01090/AT1G04410/AT1G06290/AT1G06550/AT1G09420/AT1G09780/AT1G11860/AT1G12550/AT1G12900/AT1G13440/AT1G13700/AT1G16300/AT1G17290/AT1G17650/AT1G17745/AT1G18640/AT1G20620/AT1G20630/AT1G22020/AT1G22170/AT1G22430/AT1G22440/AT1G23310/AT1G24180/AT1G24280/AT1G30120/AT1G32060/AT1G32380/AT1G32440/AT1G32470/AT1G34430/AT1G36370/AT1G42970/AT1G43670/AT1G47840/AT1G48030/AT1G50460/AT1G50480/AT1G53240/AT1G53310/AT1G54220/AT1G54340/AT1G55880/AT1G55920/AT1G56190/AT1G59900/AT1G62800/AT1G63290/AT1G64190/AT1G67090/AT1G68010/AT1G70580/AT1G71100/AT1G72330/AT1G74030/AT1G78050/AT1G79530/AT1G79550/AT1G79750/AT1G80380/AT2G01140/AT2G01290/AT2G05710/AT2G13360/AT2G13560/AT2G14170/AT2G16790/AT2G17130/AT2G17630/AT2G17640/AT2G19860/AT2G19900/AT2G20420/AT2G21170/AT2G21330/AT2G22480/AT2G22780/AT2G24270/AT2G26080/AT2G29560/AT2G30650/AT2G30660/AT2G30970/AT2G34590/AT2G35120/AT2G35370/AT2G35390/AT2G36460/AT2G36530/AT2G36580/AT2G38040/AT2G41530/AT2G42600/AT2G42790/AT2G43750/AT2G44160/AT2G44350/AT2G44530/AT2G46505/AT2G47510/AT3G01850/AT3G02360/AT3G03910/AT3G04050/AT3G04120/AT3G04790/AT3G04940/AT3G06690/AT3G08590/AT3G08860/AT3G09810/AT3G10050/AT3G12780/AT3G13110/AT3G13930/AT3G14130/AT3G14150/AT3G14415/AT3G14420/AT3G14940/AT3G15020/AT3G15290/AT3G16910/AT3G16950/AT3G17240/AT3G19480/AT3G20040/AT3G21720/AT3G22460/AT3G22960/AT3G24360/AT3G25530/AT3G25860/AT3G26650/AT3G27300/AT3G27380/AT3G47520/AT3G49160/AT3G49360/AT3G50520/AT3G51840/AT3G52200/AT3G52930/AT3G52990/AT3G54050/AT3G55410/AT3G55440/AT3G55800/AT3G58750/AT3G59760/AT3G59970/AT3G60510/AT3G60750/AT3G61440/AT4G00570/AT4G13360/AT4G13890/AT4G14880/AT4G15530/AT4G16155/AT4G16760/AT4G18360/AT4G20930/AT4G24620/AT4G26270/AT4G26520/AT4G26530/AT4G26910/AT4G26970/AT4G29130/AT4G29220/AT4G31810/AT4G32210/AT4G32520/AT4G32840/AT4G33010/AT4G34200/AT4G35090/AT4G35260/AT4G35630/AT4G35640/AT4G35830/AT4G37550/AT4G37560/AT4G37930/AT4G38970/AT4G39660/AT5G03290/AT5G03690/AT5G03860/AT5G07440/AT5G08300/AT5G08570/AT5G09600/AT5G09660/AT5G11520/AT5G11670/AT5G13110/AT5G13420/AT5G14590/AT5G14780/AT5G15530/AT5G16390/AT5G18170/AT5G19550/AT5G23250/AT5G24400/AT5G24420/AT5G25880/AT5G28020/AT5G28030/AT5G35360/AT5G35790/AT5G36700/AT5G36790/AT5G36880/AT5G38410/AT5G38420/AT5G38430/AT5G40650/AT5G40760/AT5G41670/AT5G42250/AT5G42740/AT5G43940/AT5G44520/AT5G47760/AT5G47810/AT5G48230/AT5G50850/AT5G50950/AT5G52920/AT5G55070/AT5G56350/AT5G56630/AT5G56720/AT5G56760/AT5G58330/AT5G61410/AT5G61580/AT5G63680/AT5G64380/AT5G65110/AT5G65165/AT5G65690/AT5G65750/AT5G65940/AT5G66760",248
"Metabolism","Nucleotide metabolism","ath00230","Purine metabolism","91/4731","95/6305",0.957894736842105,1.2765855666433,4.70898956357221,5.34720949858509e-08,1.81805122951893e-06,7.03580197182248e-07,"AT1G09830/AT1G14230/AT1G14240/AT1G14250/AT1G16350/AT1G17750/AT1G19920/AT1G23190/AT1G26160/AT1G27450/AT1G30110/AT1G31220/AT1G32380/AT1G36280/AT1G54130/AT1G63660/AT1G67550/AT1G70730/AT1G71750/AT1G72880/AT1G73080/AT1G74260/AT1G79470/AT1G80050/AT2G02220/AT2G02970/AT2G04450/AT2G14750/AT2G16570/AT2G21790/AT2G23820/AT2G26230/AT2G35040/AT2G35390/AT2G37250/AT2G37690/AT2G38280/AT2G39270/AT2G41880/AT2G44530/AT3G01820/AT3G03900/AT3G04080/AT3G06200/AT3G09820/AT3G14050/AT3G17470/AT3G21110/AT3G22890/AT3G23580/AT3G27060/AT3G55010/AT3G57550/AT3G57610/AT4G04955/AT4G09320/AT4G11010/AT4G11980/AT4G12440/AT4G12720/AT4G13720/AT4G14680/AT4G14930/AT4G17050/AT4G18440/AT4G20070/AT4G22570/AT4G24730/AT4G25434/AT4G29680/AT4G34740/AT4G34890/AT4G34900/AT4G39940/AT5G03300/AT5G11160/AT5G18280/AT5G35170/AT5G43600/AT5G43780/AT5G47650/AT5G47840/AT5G50370/AT5G51820/AT5G58220/AT5G58240/AT5G60340/AT5G63310/AT5G63400/AT5G66005/AT5G67520",91
"Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids","214/4731","242/6305",0.884297520661157,1.17850261419755,4.90897354820479,9.91946211414718e-08,2.69809369504803e-06,1.04415390675234e-06,"AT1G02500/AT1G07780/AT1G08630/AT1G09780/AT1G09795/AT1G10060/AT1G10070/AT1G11790/AT1G13440/AT1G14810/AT1G15710/AT1G16300/AT1G17290/AT1G17745/AT1G18640/AT1G22020/AT1G22170/AT1G22410/AT1G23310/AT1G25220/AT1G29410/AT1G31180/AT1G31230/AT1G31860/AT1G32380/AT1G32440/AT1G36370/AT1G44820/AT1G48470/AT1G48850/AT1G48860/AT1G50110/AT1G54340/AT1G55880/AT1G55920/AT1G56190/AT1G58080/AT1G62800/AT1G63290/AT1G66200/AT1G69370/AT1G70580/AT1G71100/AT1G72330/AT1G72810/AT1G74030/AT1G74040/AT1G78050/AT1G79530/AT1G79550/AT1G80600/AT2G01140/AT2G01290/AT2G04400/AT2G05710/AT2G13810/AT2G17130/AT2G17265/AT2G17630/AT2G17640/AT2G19940/AT2G21170/AT2G21330/AT2G21940/AT2G22250/AT2G22480/AT2G22910/AT2G27820/AT2G29560/AT2G29690/AT2G30970/AT2G31810/AT2G35390/AT2G36230/AT2G36460/AT2G36530/AT2G36580/AT2G36880/AT2G37500/AT2G39800/AT2G42790/AT2G43090/AT2G43750/AT2G44040/AT2G44350/AT2G44530/AT2G45300/AT2G45440/AT3G01850/AT3G02020/AT3G03630/AT3G03780/AT3G04050/AT3G04120/AT3G04520/AT3G04790/AT3G04940/AT3G06350/AT3G07630/AT3G08590/AT3G09810/AT3G10050/AT3G12780/AT3G13110/AT3G14390/AT3G17390/AT3G17820/AT3G19480/AT3G22425/AT3G22460/AT3G22960/AT3G23940/AT3G29200/AT3G44720/AT3G47340/AT3G48560/AT3G49160/AT3G49680/AT3G50520/AT3G52930/AT3G52990/AT3G53580/AT3G54640/AT3G55440/AT3G55610/AT3G57560/AT3G58610/AT3G58750/AT3G59760/AT3G59890/AT3G60750/AT3G61440/AT4G01850/AT4G02610/AT4G08870/AT4G08900/AT4G13430/AT4G13890/AT4G14880/AT4G17830/AT4G19710/AT4G24830/AT4G26270/AT4G26520/AT4G26530/AT4G26900/AT4G26970/AT4G27070/AT4G29220/AT4G29840/AT4G31990/AT4G32520/AT4G32840/AT4G33510/AT4G33680/AT4G34200/AT4G35260/AT4G35630/AT4G35640/AT4G35830/AT4G37670/AT4G37930/AT4G38220/AT4G38970/AT4G39120/AT4G39540/AT4G39980/AT5G03290/AT5G03690/AT5G05590/AT5G05730/AT5G08570/AT5G10240/AT5G10330/AT5G10870/AT5G10920/AT5G11520/AT5G11880/AT5G13280/AT5G13420/AT5G14060/AT5G14590/AT5G14800/AT5G16290/AT5G16570/AT5G17920/AT5G17990/AT5G19550/AT5G20980/AT5G22630/AT5G28020/AT5G28030/AT5G28237/AT5G34930/AT5G35630/AT5G37600/AT5G38530/AT5G44520/AT5G47810/AT5G48220/AT5G52920/AT5G53460/AT5G54810/AT5G56350/AT5G56630/AT5G56760/AT5G57890/AT5G61410/AT5G61580/AT5G63680/AT5G63890/AT5G65010/AT5G65780/AT5G66120",214
"Cellular Processes","Transport and catabolism","ath04142","Lysosome","173/4731","193/6305",0.896373056994819,1.19459567202543,4.75994978246255,1.89148932174637e-07,4.28737579595844e-06,1.65920115942664e-06,"AT1G02300/AT1G02305/AT1G02630/AT1G04750/AT1G04760/AT1G05590/AT1G10730/AT1G12470/AT1G12840/AT1G13170/AT1G14700/AT1G15960/AT1G17340/AT1G19910/AT1G20260/AT1G22620/AT1G22740/AT1G23900/AT1G25230/AT1G31730/AT1G34260/AT1G42470/AT1G47240/AT1G47830/AT1G48090/AT1G48760/AT1G49300/AT1G50030/AT1G52280/AT1G56590/AT1G60070/AT1G60780/AT1G62200/AT1G62710/AT1G64200/AT1G65590/AT1G67830/AT1G70330/AT1G71010/AT1G72990/AT1G75630/AT1G75850/AT1G76030/AT1G78900/AT1G79190/AT1G80830/AT2G01880/AT2G01890/AT2G02020/AT2G02040/AT2G05170/AT2G15230/AT2G16510/AT2G17380/AT2G17790/AT2G19790/AT2G20790/AT2G21430/AT2G21880/AT2G23150/AT2G25610/AT2G25730/AT2G25940/AT2G28100/AT2G28520/AT2G30330/AT2G31020/AT2G32670/AT2G33110/AT2G33120/AT2G38020/AT2G46560/AT3G01390/AT3G08530/AT3G08560/AT3G08850/AT3G09300/AT3G11130/AT3G11900/AT3G14205/AT3G14270/AT3G15160/AT3G16100/AT3G17790/AT3G18140/AT3G18820/AT3G19870/AT3G24890/AT3G27170/AT3G28710/AT3G28715/AT3G29130/AT3G42050/AT3G43220/AT3G45310/AT3G47810/AT3G48470/AT3G49860/AT3G49870/AT3G50860/AT3G51310/AT3G51730/AT3G54140/AT3G54300/AT3G54860/AT3G55260/AT3G55480/AT3G58730/AT4G01610/AT4G02620/AT4G05110/AT4G05120/AT4G05130/AT4G08180/AT4G09720/AT4G11150/AT4G11270/AT4G11380/AT4G12460/AT4G16190/AT4G17140/AT4G17470/AT4G17480/AT4G17483/AT4G22050/AT4G23460/AT4G23710/AT4G24550/AT4G25950/AT4G26710/AT4G27690/AT4G32150/AT4G32530/AT4G32940/AT4G33240/AT4G34720/AT4G35410/AT4G36630/AT4G38350/AT4G38510/AT4G38920/AT4G39090/AT4G39420/AT5G01180/AT5G01770/AT5G01800/AT5G02100/AT5G06260/AT5G07880/AT5G11150/AT5G13190/AT5G13690/AT5G20840/AT5G22360/AT5G22770/AT5G22780/AT5G26240/AT5G33280/AT5G37680/AT5G40670/AT5G40890/AT5G46630/AT5G47330/AT5G47350/AT5G49550/AT5G49890/AT5G53530/AT5G55290/AT5G59420/AT5G60360/AT5G61540/AT5G65990/AT5G67330",173
"Cellular Processes","Transport and catabolism","ath04145","Phagosome","83/4731","87/6305",0.954022988505747,1.27142569066344,4.41944192510377,3.8922815879472e-07,7.56214708515457e-06,2.92652750973474e-06,"AT1G04820/AT1G08450/AT1G09210/AT1G11890/AT1G12840/AT1G19910/AT1G20010/AT1G20090/AT1G20260/AT1G22740/AT1G29310/AT1G34260/AT1G49300/AT1G50010/AT1G51740/AT1G52280/AT1G56340/AT1G60490/AT1G64200/AT1G64740/AT1G71010/AT1G75630/AT1G75780/AT1G75840/AT1G76030/AT1G78720/AT1G78900/AT2G16510/AT2G17800/AT2G18710/AT2G21880/AT2G25610/AT2G28520/AT2G29550/AT2G34250/AT2G44690/AT2G45070/AT3G01390/AT3G08560/AT3G14270/AT3G16100/AT3G18820/AT3G28710/AT3G28715/AT3G42050/AT3G48040/AT3G48570/AT3G51300/AT3G54840/AT3G58730/AT3G60540/AT4G02620/AT4G09720/AT4G11150/AT4G14960/AT4G19640/AT4G20890/AT4G23710/AT4G24920/AT4G25950/AT4G26710/AT4G28950/AT4G32530/AT4G33240/AT4G34720/AT4G35020/AT4G35950/AT4G38510/AT4G38920/AT5G07340/AT5G12250/AT5G19770/AT5G19780/AT5G23860/AT5G45130/AT5G45970/AT5G50460/AT5G52270/AT5G55290/AT5G60460/AT5G61790/AT5G62690/AT5G62700",83
"Genetic Information Processing","Folding, sorting and degradation","ath03018","RNA degradation","106/4731","114/6305",0.929824561403509,1.23917646578929,4.46758351876062,5.31550881299414e-07,9.03636498209005e-06,3.49704527170667e-06,"AT1G02080/AT1G03330/AT1G03360/AT1G03905/AT1G06450/AT1G06670/AT1G07705/AT1G08370/AT1G15920/AT1G19120/AT1G21190/AT1G26230/AT1G27890/AT1G31500/AT1G48650/AT1G49760/AT1G54440/AT1G55490/AT1G55870/AT1G59760/AT1G60080/AT1G61470/AT1G65700/AT1G71770/AT1G74030/AT1G75660/AT1G76630/AT1G76860/AT1G79090/AT1G80780/AT2G01130/AT2G03870/AT2G06990/AT2G17510/AT2G22480/AT2G23350/AT2G25355/AT2G28000/AT2G28540/AT2G29560/AT2G30800/AT2G32070/AT2G32550/AT2G33210/AT2G35920/AT2G36530/AT2G43810/AT2G45810/AT3G03710/AT3G07750/AT3G12990/AT3G13290/AT3G13300/AT3G13470/AT3G13860/AT3G14080/AT3G20800/AT3G22270/AT3G23990/AT3G25430/AT3G44260/AT3G45630/AT3G46210/AT3G46960/AT3G52150/AT3G58560/AT3G58580/AT3G59810/AT3G60500/AT3G61240/AT3G61620/AT4G00660/AT4G14990/AT4G26270/AT4G27490/AT4G29220/AT4G29830/AT4G32175/AT4G32840/AT4G34110/AT4G37910/AT5G02270/AT5G04895/AT5G09590/AT5G12980/AT5G13570/AT5G14580/AT5G18230/AT5G18820/AT5G22250/AT5G25080/AT5G27720/AT5G35430/AT5G35910/AT5G38890/AT5G42540/AT5G44110/AT5G47810/AT5G48870/AT5G53770/AT5G56500/AT5G56630/AT5G59460/AT5G59710/AT5G60170/AT5G61580",106
"Metabolism","Carbohydrate metabolism","ath00010","Glycolysis / Gluconeogenesis","110/4731","119/6305",0.92436974789916,1.23190684009812,4.42755835082236,7.53476284752718e-07,1.13858638584855e-05,4.40629406288139e-06,"AT1G01090/AT1G09780/AT1G09870/AT1G12000/AT1G13440/AT1G16300/AT1G20950/AT1G22170/AT1G22430/AT1G22440/AT1G23190/AT1G23800/AT1G24180/AT1G30120/AT1G32440/AT1G32780/AT1G34430/AT1G43670/AT1G44170/AT1G47840/AT1G48030/AT1G50460/AT1G54100/AT1G54220/AT1G56190/AT1G59900/AT1G64710/AT1G70730/AT1G74030/AT1G76550/AT1G77120/AT1G78050/AT1G79530/AT1G79550/AT2G01140/AT2G19860/AT2G21170/AT2G21330/AT2G22480/AT2G24270/AT2G29560/AT2G34590/AT2G36460/AT2G36530/AT2G36580/AT2G37790/AT3G01260/AT3G01590/AT3G04050/AT3G04120/AT3G08590/AT3G12780/AT3G13930/AT3G16910/AT3G16950/AT3G17240/AT3G17940/AT3G20040/AT3G22960/AT3G25860/AT3G47800/AT3G48000/AT3G49160/AT3G50520/AT3G52200/AT3G52930/AT3G52990/AT3G54050/AT3G55440/AT3G61610/AT4G15530/AT4G16155/AT4G17260/AT4G23730/AT4G24620/AT4G25900/AT4G26270/AT4G26520/AT4G26530/AT4G29130/AT4G29220/AT4G32840/AT4G33070/AT4G34240/AT4G36250/AT4G38970/AT5G01320/AT5G01330/AT5G01670/AT5G03690/AT5G08570/AT5G14500/AT5G24760/AT5G36880/AT5G42250/AT5G42740/AT5G43940/AT5G47810/AT5G50850/AT5G51820/AT5G52920/AT5G54960/AT5G56350/AT5G56630/AT5G57330/AT5G61580/AT5G63680/AT5G64380/AT5G65690/AT5G66530",110
"Cellular Processes","Cell motility","ath04814","Motor proteins","78/4731","82/6305",0.951219512195122,1.2676894999768,4.2298072224074,1.32212382849223e-06,1.78131372160862e-05,6.89362895359371e-06,"AT1G04160/AT1G04600/AT1G04820/AT1G08730/AT1G17580/AT1G18370/AT1G18550/AT1G20010/AT1G21730/AT1G23220/AT1G49240/AT1G50010/AT1G54560/AT1G59540/AT1G64740/AT1G71790/AT1G75780/AT2G20290/AT2G21300/AT2G21380/AT2G28620/AT2G29550/AT2G31900/AT2G33240/AT2G36200/AT2G37420/AT2G37620/AT2G42090/AT2G42170/AT3G05520/AT3G10180/AT3G12020/AT3G12110/AT3G16060/AT3G16120/AT3G16630/AT3G17360/AT3G18780/AT3G19050/AT3G20150/AT3G23670/AT3G43210/AT3G44050/AT3G45850/AT3G46520/AT3G49650/AT3G51150/AT3G53750/AT3G58160/AT3G61650/AT4G14150/AT4G14960/AT4G15930/AT4G20890/AT4G24170/AT4G27360/AT4G27370/AT4G28710/AT4G33200/AT4G38950/AT4G39050/AT5G02370/AT5G05620/AT5G06670/AT5G09810/AT5G12250/AT5G19770/AT5G19780/AT5G20110/AT5G20490/AT5G23860/AT5G23910/AT5G42490/AT5G43900/AT5G54280/AT5G62690/AT5G62700/AT5G66310",78
